1 0 1
3 0 6
3 1 1
4 3 1
5 0 10
5 2 1
5 3 2
6 0 20
6 1 1
6 3 5
6 5 11
7 0 1
7 5 1
7 6 4
8 0 4
8 5 3
8 6 8
8 7 4
9 0 1
9 3 1
9 4 2
9 6 1
11 9 1
12 0 7
12 1 1
12 3 3
12 5 3
12 6 7
12 7 1
12 8 2
12 9 1
13 0 3
13 5 2
13 6 3
13 7 1
13 8 1
13 12 1
14 9 1
14 11 1
15 10 1
17 0 5
17 1 1
17 3 1
17 5 1
17 6 3
17 7 1
17 8 1
17 9 1
17 11 1
17 12 2
17 13 1
17 14 1
17 16 1
18 0 3
18 3 1
18 4 1
18 5 1
18 6 3
18 9 2
18 12 2
18 16 1
18 17 1
19 10 1
19 15 1
20 0 10
20 1 1
20 3 6
20 5 3
20 6 9
20 8 1
20 9 1
20 12 5
20 16 1
20 17 3
20 18 3
20 20 1
21 0 2
21 3 1
21 4 1
21 5 2
21 6 2
21 9 1
21 12 1
21 18 2
22 0 1
22 6 1
22 9 1
22 12 1
22 16 1
22 17 1
22 18 2
22 20 7
22 22 2
23 0 5
23 1 1
23 3 1
23 5 2
23 6 4
23 7 1
23 8 2
23 12 4
23 13 1
23 16 1
23 17 3
23 18 3
23 20 4
23 21 1
23 22 1
24 13 1
25 0 2
25 1 1
25 3 1
25 5 1
25 6 2
25 12 2
25 16 1
25 17 2
25 18 2
25 20 3
25 21 1
25 22 1
25 23 3
26 0 4
26 3 1
26 6 2
26 8 1
26 12 1
26 20 3
26 23 2
26 25 1
27 0 2
27 6 2
27 8 1
27 9 1
27 12 2
27 18 1
27 20 2
27 22 1
27 23 1
27 26 1
28 0 14
28 2 1
28 3 3
28 4 1
28 5 5
28 6 11
28 7 4
28 8 5
28 9 2
28 10 1
28 11 1
28 12 4
28 13 2
28 14 1
28 15 1
28 17 5
28 18 1
28 19 1
28 20 6
28 21 1
28 23 5
28 25 1
28 26 3
28 27 1
29 0 30
29 1 1
29 2 2
29 3 8
29 4 2
29 5 14
29 6 35
29 7 5
29 8 8
29 9 4
29 10 1
29 11 1
29 12 8
29 13 6
29 14 1
29 15 1
29 16 1
29 17 9
29 18 6
29 19 1
29 20 34
29 21 3
29 22 21
29 23 8
29 24 1
29 25 4
29 26 5
29 27 3
29 28 26
29 30 5
29 31 3
29 32 3
29 33 3
29 34 1
29 35 1
29 36 2
29 37 4
29 38 3
29 39 1
29 40 1
29 41 6
29 42 4
29 43 1
29 44 3
29 45 1
29 46 13
29 47 2
29 48 16
29 49 5
29 50 2
29 51 6
29 52 1
29 53 5
29 54 3
29 55 1
29 56 1
29 57 3
29 58 1
29 59 1
29 60 4
29 61 10
29 62 1
29 63 5
29 64 3
29 65 1
29 66 3
29 68 8
29 69 20
29 70 1
29 71 5
29 72 1
29 73 5
29 74 1
29 75 4
29 76 3
29 77 8
29 78 24
29 79 3
29 80 2
29 81 3
29 82 4
29 83 3
29 84 7
29 85 3
29 86 4
29 87 1
29 88 3
29 89 1
29 90 15
29 91 2
29 92 4
29 93 28
29 94 2
29 95 4
29 96 4
29 97 3
29 98 4
29 99 3
29 100 3
29 101 1
29 102 2
29 103 3
29 104 22
29 105 5
29 106 5
29 107 1
29 108 10
29 109 4
29 110 7
29 111 5
29 112 1
29 113 3
29 114 35
29 115 2
29 116 9
29 117 11
29 118 7
29 119 5
29 120 4
29 121 4
29 122 1
29 123 1
29 124 3
29 125 5
29 126 8
29 127 9
29 128 2
29 129 27
29 130 3
29 131 1
29 132 9
29 133 1
29 134 12
29 135 3
29 136 5
29 137 3
29 138 13
29 139 4
29 140 26
29 141 11
29 142 12
29 143 26
29 144 4
29 145 26
29 146 3
29 147 3
29 148 9
29 149 8
29 150 6
29 151 44
29 152 2
29 153 2
29 154 1
29 155 2
29 156 2
29 157 2
29 158 2
29 159 1
29 160 8
29 161 2
29 162 1
29 163 1
29 164 3
29 166 13
29 167 2
30 0 4
30 3 1
30 5 2
30 6 4
30 7 1
30 8 2
30 9 1
30 12 4
30 13 1
30 17 1
30 18 1
30 20 3
30 22 1
30 23 2
30 26 1
30 27 2
30 28 3
31 16 1
31 17 2
31 18 1
31 20 1
31 22 1
31 23 1
31 25 1
31 27 1
32 0 1
32 5 1
32 6 2
32 7 1
32 8 1
32 12 1
32 13 1
32 17 1
32 18 1
32 20 1
32 23 2
32 28 1
32 30 1
33 0 1
33 3 1
33 4 1
33 6 1
33 8 1
33 9 1
33 12 1
33 16 1
33 17 1
33 18 2
33 20 2
33 21 1
33 22 1
33 23 2
33 25 1
33 26 1
33 27 1
33 28 1
33 30 1
33 31 1
34 13 1
34 24 1
35 10 1
35 15 1
35 19 1
35 28 1
36 0 1
36 5 1
36 6 1
36 7 1
36 8 1
36 12 1
36 13 1
36 17 1
36 23 2
36 28 2
36 30 1
36 32 1
37 0 4
37 5 4
37 6 4
37 7 1
37 8 3
37 12 1
37 13 1
37 17 1
37 23 1
37 28 2
37 30 1
37 32 1
37 36 1
38 0 1
38 3 2
38 4 1
38 5 1
38 9 1
38 16 1
38 17 1
38 18 2
38 20 2
38 21 1
38 22 1
38 23 1
38 25 1
38 28 1
38 30 1
38 31 1
38 33 2
39 13 1
39 24 1
39 34 1
40 10 1
40 15 1
40 19 1
40 28 1
40 35 1
41 0 5
41 1 1
41 3 1
41 5 1
41 6 5
41 7 1
41 8 2
41 9 1
41 12 4
41 13 1
41 17 2
41 18 1
41 20 4
41 22 1
41 23 4
41 25 1
41 26 1
41 27 2
41 28 3
41 30 3
41 32 1
41 33 1
41 36 2
41 37 1
42 0 3
42 3 1
42 5 1
42 6 3
42 7 1
42 8 1
42 12 1
42 13 1
42 17 2
42 20 1
42 23 1
42 26 1
42 28 2
42 30 1
42 32 1
42 36 1
42 37 1
42 41 1
43 10 1
43 15 1
43 19 1
43 28 1
43 35 1
43 40 1
44 0 2
44 6 2
44 8 1
44 9 1
44 12 2
44 18 1
44 20 2
44 22 1
44 23 1
44 26 1
44 27 3
44 28 1
44 30 2
44 31 1
44 33 1
44 41 2
45 6 1
45 12 1
45 30 1
46 0 8
46 3 1
46 5 2
46 6 7
46 7 2
46 8 2
46 12 3
46 13 2
46 16 1
46 17 3
46 18 3
46 20 5
46 21 1
46 22 1
46 23 6
46 24 1
46 25 2
46 26 2
46 27 1
46 28 9
46 30 2
46 31 1
46 32 1
46 33 2
46 34 1
46 36 2
46 37 1
46 38 1
46 39 1
46 41 3
46 42 1
46 44 1
47 3 1
47 4 1
47 5 1
47 6 1
47 9 1
47 18 1
47 20 1
47 21 1
47 33 1
47 38 1
48 0 7
48 2 1
48 5 5
48 6 10
48 7 2
48 8 4
48 9 1
48 10 1
48 12 3
48 13 3
48 15 1
48 17 2
48 18 1
48 19 1
48 20 4
48 22 1
48 23 2
48 24 1
48 26 1
48 27 2
48 28 8
48 30 3
48 31 1
48 32 1
48 33 1
48 34 1
48 35 1
48 36 1
48 37 2
48 39 1
48 40 1
48 41 3
48 42 1
48 43 1
48 44 2
48 46 5
48 47 1
49 0 4
49 5 2
49 6 4
49 7 1
49 8 1
49 12 2
49 13 2
49 17 2
49 18 1
49 20 1
49 21 1
49 23 2
49 24 1
49 25 1
49 28 4
49 30 1
49 32 1
49 34 1
49 36 1
49 37 1
49 39 1
49 41 1
49 42 1
49 46 5
49 48 3
50 18 1
50 20 2
50 23 1
50 25 1
50 26 1
50 32 1
51 0 4
51 1 1
51 3 2
51 4 1
51 5 1
51 6 4
51 8 1
51 9 2
51 12 4
51 16 1
51 17 2
51 18 4
51 20 4
51 21 2
51 22 2
51 23 4
51 25 3
51 26 1
51 27 2
51 28 2
51 30 2
51 31 1
51 33 3
51 38 2
51 41 3
51 44 2
51 46 3
51 47 1
51 48 2
51 49 1
52 10 1
52 15 1
52 19 1
52 28 1
52 35 1
52 40 1
52 43 1
52 48 1
53 0 3
53 1 1
53 3 2
53 4 1
53 6 2
53 9 1
53 12 1
53 13 1
53 17 1
53 18 2
53 20 2
53 21 1
53 23 2
53 25 1
53 28 2
53 32 1
53 33 1
53 38 1
53 41 1
53 47 1
53 48 1
53 50 1
53 51 2
54 0 1
54 6 1
54 48 1
55 13 1
55 24 1
55 34 1
55 39 1
55 46 1
55 48 1
55 49 1
56 10 1
56 15 1
56 19 1
56 28 1
56 35 1
56 40 1
56 43 1
56 48 1
56 52 1
57 6 1
57 16 1
57 17 1
57 18 1
57 20 1
57 22 1
57 23 1
57 25 1
57 27 1
57 31 2
57 33 1
57 38 1
57 44 1
57 46 1
57 51 1
58 13 1
58 24 1
58 34 1
58 39 1
58 46 1
58 48 1
58 49 1
58 55 1
59 10 1
59 15 1
59 19 1
59 28 1
59 35 1
59 40 1
59 43 1
59 48 1
59 52 1
59 56 1
60 0 3
60 1 1
60 3 1
60 5 1
60 6 2
60 7 1
60 8 1
60 12 2
60 13 1
60 16 1
60 17 3
60 18 1
60 20 2
60 22 1
60 23 4
60 25 2
60 26 1
60 28 2
60 30 1
60 31 1
60 32 1
60 33 1
60 36 1
60 37 1
60 38 1
60 41 2
60 42 1
60 46 3
60 48 1
60 49 1
60 51 2
60 53 1
60 57 1
61 0 6
61 1 1
61 3 2
61 4 1
61 5 3
61 6 6
61 7 2
61 8 4
61 9 3
61 11 1
61 12 4
61 13 1
61 14 1
61 17 4
61 18 1
61 20 4
61 22 1
61 23 3
61 25 1
61 26 1
61 27 2
61 28 7
61 30 4
61 31 1
61 32 1
61 33 1
